,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
575377,03/18/2018,17:00,BROOKLYN,11206.0,40.7109,-73.943794,"(40.7109, -73.943794)",GRAHAM AVENUE                   ,MAUJER STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3865374,Bike,Bike,,,
592780,02/19/2018,22:15,MANHATTAN,10128.0,40.780437,-73.94989,"(40.780437, -73.94989)",2 AVENUE                        ,EAST 90 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3852978,Bike,Bike,,,
594196,01/29/2018,22:05,MANHATTAN,10011.0,40.745205,-74.00227,"(40.745205, -74.00227)",9 AVENUE                        ,WEST 21 STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3838427,Bike,Bike,,,
619519,12/12/2017,6:10,,,40.748848,-73.872375,"(40.748848, -73.872375)",ROOSEVELT AVENUE                ,,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,3806936,Bike,Bike,,,
635401,11/21/2017,23:05,,,40.73066,-73.983086,"(40.73066, -73.983086)",1 AVENUE                        ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3795241,Bike,Bike,,,
640664,11/29/2017,8:05,MANHATTAN,10026.0,40.802532,-73.95303,"(40.802532, -73.95303)",WEST 115 STREET                 ,7 AVENUE,,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Passing or Lane Usage Improper,,,,3799532,Bike,Bike,,,
642622,11/28/2017,18:14,BROOKLYN,11230.0,40.62893,-73.971375,"(40.62893, -73.971375)",OCEAN PARKWAY                   ,AVENUE H,,2.0,0.0,0,0,2,0,0,0,Passing Too Closely,Passing Too Closely,,,,3799313,Bike,Bike,,,
651613,10/24/2017,16:50,BROOKLYN,11216.0,40.682835,-73.94092,"(40.682835, -73.94092)",THROOP AVENUE                   ,HALSEY STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3776310,Bike,Bike,,,
652683,10/28/2017,13:32,,,40.67059,-73.93404,"(40.67059, -73.93404)",,,101       EAST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3778948,Bike,Bike,,,
653440,11/01/2017,13:15,MANHATTAN,10028.0,40.77493,-73.950806,"(40.77493, -73.950806)",1 AVENUE                        ,EAST 83 STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unsafe Speed,,,,3781722,Bike,Bike,,,
656167,10/22/2017,17:00,,,,,,,,89        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unspecified,,,,,3774868,Bike,Bike,,,
657121,10/25/2017,21:00,,,40.69079,-73.94349,"(40.69079, -73.94349)",LAFAYETTE AVENUE                ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3777243,Bike,Bike,,,
662341,11/03/2017,14:25,,,40.73384,-74.01007,"(40.73384, -74.01007)",WEST STREET                     ,,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,3784433,Bike,Bike,,,
664921,10/01/2017,14:20,,,40.781784,-73.96227,"(40.781784, -73.96227)",,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,3761387,Bike,Bike,,,
666391,10/14/2017,14:49,,,,,,,,65        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3769430,Bike,Bike,,,
672760,10/05/2017,15:10,,,,,,,,85        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3764321,Bike,Bike,,,
675444,10/11/2017,9:00,,,40.783165,-73.96928,"(40.783165, -73.96928)",,,73        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Following Too Closely,,,,,3767943,Bike,Bike,,,
676373,09/27/2017,9:00,,,,,,BROOKLYN BRIDGE                 ,ADAMS STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3758252,Bike,Bike,,,
678032,10/14/2017,15:15,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3769432,Bike,Bike,,,
679605,09/18/2017,14:00,,,,,,,,71        EAST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3757030,Bike,Bike,,,
680758,07/29/2017,18:20,,,,,,,,101       WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3720914,Bike,Bike,,,
683902,09/12/2017,22:00,MANHATTAN,10010.0,40.736687,-73.98177,"(40.736687, -73.98177)",,,362       2 AVENUE                      ,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3749068,Bike,Bike,,,
687532,09/07/2017,0:00,,,40.801533,-73.93136,"(40.801533, -73.93136)",1 AVENUE                        ,,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3745518,Bike,Bike,,,
687895,09/12/2017,9:45,,,40.691765,-73.94806,"(40.691765, -73.94806)",DE KALB AVENUE                  ,,,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4024796,Bike,Bike,,,
690205,08/30/2017,9:26,BROOKLYN,11226.0,40.65487,-73.96191,"(40.65487, -73.96191)",PARKSIDE AVENUE                 ,OCEAN AVENUE,,2.0,0.0,0,0,2,0,0,0,Alcohol Involvement,Unspecified,,,,3749785,Bike,Bike,,,
690619,09/08/2017,12:00,,,40.69827,-73.788475,"(40.69827, -73.788475)",,,59        EAST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,3745677,Bike,Bike,,,
693095,09/10/2017,8:05,,,40.704388,-73.994576,"(40.704388, -73.994576)",BROOKLYN BRIDGE                 ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Passing or Lane Usage Improper,,,,3746651,Bike,Bike,,,
695280,09/17/2017,11:20,BROOKLYN,11211.0,40.710785,-73.95995,"(40.710785, -73.95995)",ROEBLING STREET                 ,SOUTH 4 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3752206,Bike,Bike,,,
695578,08/31/2017,19:15,,,40.74766,-73.86346,"(40.74766, -73.86346)",42 AVENUE                       ,NATIONAL STREET,,1.0,0.0,0,0,1,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3741873,Bike,Bike,,,
696527,09/09/2017,18:45,,,40.76607,-73.97753,"(40.76607, -73.97753)",,,71        EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3746466,Bike,Bike,,,
697757,08/21/2017,17:27,,,,,,,,73        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inexperience,Passing or Lane Usage Improper,,,,3735355,Bike,Bike,,,
699826,08/01/2017,14:00,,,40.691353,-73.92142,"(40.691353, -73.92142)",LINDEN STREET                   ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3723203,Bike,Bike,,,
700172,07/30/2017,19:15,,,40.67361,-73.870224,"(40.67361, -73.870224)",,,105       EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3721244,Bike,Bike,,,
703317,08/12/2017,19:00,,,,,,,,97        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3729660,Bike,Bike,,,
704773,08/12/2017,18:05,,,,,,,,85        EAST DRIVE                    ,1.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3735356,Bike,Bike,,,
707424,08/09/2017,18:39,BROOKLYN,11201.0,40.69977,-73.98294,"(40.69977, -73.98294)",SANDS STREET                    ,GOLD STREET,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3736268,Bike,Bike,,,
709359,08/01/2017,19:45,QUEENS,11373.0,40.74326,-73.8898,"(40.74326, -73.8898)",WOODSIDE AVENUE                 ,75 STREET,,1.0,0.0,0,0,1,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3722750,Bike,Bike,,,
716235,07/09/2017,10:30,MANHATTAN,10000.0,40.780888,-73.962036,"(40.780888, -73.962036)",,,30        TRANSVERSE ROAD NUMBER THREE  ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unsafe Speed,,,,3708388,Bike,Bike,,,
719192,07/06/2017,19:35,,,,,,,,59        CENTER DRIVE                  ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3706078,Bike,Bike,,,
722934,07/04/2017,22:23,BROOKLYN,11233.0,40.681408,-73.914185,"(40.681408, -73.914185)",MARION STREET                   ,BOYLAND STREET,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3722544,Bike,Bike,,,
725083,07/10/2017,18:44,,,,,,,,95        EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3708981,Bike,Bike,,,
730620,07/01/2017,11:35,,,,,,,,65        EAST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,3702782,Bike,Bike,,,
730764,05/12/2017,9:30,,,,,,,,103       EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3670765,Bike,Bike,,,
731287,06/24/2017,20:58,,,,,,EAST DRIVE                      ,LINCOLN ROAD DRIVE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3698724,Bike,Bike,,,
732061,06/10/2017,18:30,,,40.682537,-73.95002,"(40.682537, -73.95002)",HANCOCK STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3688120,Bike,Bike,,,
732820,06/29/2017,17:40,,,40.737568,-74.00975,"(40.737568, -74.00975)",WEST STREET                     ,,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3704199,Bike,Bike,Bike,,
735427,06/19/2017,6:50,,,,,,WEST DRIVE                      ,,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3695540,Bike,Bike,,,
739129,06/13/2017,20:25,,,40.70191,-73.93699,"(40.70191, -73.93699)",FLUSHING AVENUE                 ,,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3691913,Bike,Bike,,,
739144,06/30/2017,19:00,,,,,,,,97        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,3702402,Bike,Bike,,,
739521,06/14/2017,11:57,MANHATTAN,10001.0,,,,WEST 34 STREET                  ,12 AVENUE,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3693609,Bike,Bike,,,
739765,06/18/2017,18:30,BROOKLYN,11220.0,40.642303,-74.01324,"(40.642303, -74.01324)",55 STREET                       ,5 AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3696452,Bike,Bike,,,
740526,06/18/2017,13:45,,,,,,,,101       EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inexperience,Following Too Closely,,,,3693903,Bike,Bike,,,
741215,06/11/2017,19:01,,,40.66326,-73.95259,"(40.66326, -73.95259)",,,85        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Brakes Defective,Following Too Closely,,,,3690480,Bike,Bike,,,
743100,06/18/2017,13:15,,,40.791634,-73.96257,"(40.791634, -73.96257)",,,TRANSVERSE ROAD NUMBER FOUR             ,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,3693904,Bike,Bike,,,
743803,06/12/2017,22:27,MANHATTAN,10000.0,40.77994,-73.97103,"(40.77994, -73.97103)",WEST DRIVE                      ,TRANSVERSE ROAD NUMBER TWO,,1.0,0.0,0,0,1,0,0,0,Animals Action,Animals Action,,,,3690482,Bike,Bike,,,
744618,06/15/2017,12:14,MANHATTAN,10069.0,,,,WEST 61 STREET                  ,RIVERSIDE BOULEVARD,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3691809,Bike,Bike,,,
746376,06/12/2017,16:50,MANHATTAN,10023.0,40.777004,-73.97908,"(40.777004, -73.97908)",,,247       COLUMBUS AVENUE               ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3689363,Bike,Bike,,,
747491,06/08/2017,0:00,,,40.71279,-73.9693,"(40.71279, -73.9693)",WILLIAMSBURG BRIDGE INNER ROADWA,,,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,3687026,Bike,Bike,,,
750567,05/31/2017,20:00,,,,,,RIVERSIDE PARK                  ,WEST 70 STREET,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Following Too Closely,,,,3681720,Bike,Bike,,,
751029,05/23/2017,21:30,MANHATTAN,10022.0,40.754505,-73.965706,"(40.754505, -73.965706)",EAST 51 STREET                  ,1 AVENUE,,1.0,0.0,0,0,1,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3680501,Bike,Bike,,,
752385,05/31/2017,15:08,MANHATTAN,10001.0,40.74658,-73.99756,"(40.74658, -73.99756)",8 AVENUE                        ,WEST 25 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3681680,Bike,Bike,,,
754906,05/28/2017,12:15,,,,,,WEST DRIVE                      ,WEST LAKE DRIVE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3679519,Bike,Bike,,,
755641,06/01/2017,7:15,MANHATTAN,10003.0,40.72535,-73.98696,"(40.72535, -73.98696)",,,67        1 AVENUE                      ,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,3683631,Bike,Bike,,,
757872,05/27/2017,15:00,,,,,,EAST DRIVE                      ,,,2.0,0.0,0,0,2,0,0,0,Driver Inexperience,Unspecified,,,,3679517,Bike,Bike,,,
758160,06/09/2017,7:03,BROOKLYN,11204.0,40.620712,-73.98509,"(40.620712, -73.98509)",19 AVENUE                       ,60 STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3688095,Bike,Bike,,,
761981,06/03/2017,17:40,,,,,,,,59        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3683426,Bike,Bike,,,
763891,05/15/2017,23:50,MANHATTAN,10010.0,40.736225,-73.98098,"(40.736225, -73.98098)",,,330       EAST 21 STREET                ,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3671006,Bike,Bike,,,
764368,05/04/2017,21:00,MANHATTAN,10003.0,40.732983,-73.99118,"(40.732983, -73.99118)",,,815       BROADWAY                      ,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3665401,Bike,Bike,,,
765907,05/12/2017,19:40,MANHATTAN,10024.0,40.784534,-73.9736,"(40.784534, -73.9736)",COLUMBUS AVENUE                 ,WEST 83 STREET,,1.0,0.0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,3668954,Bike,Bike,,,
766913,05/14/2017,17:00,MANHATTAN,10028.0,40.773655,-73.95173,"(40.773655, -73.95173)",1 AVENUE                        ,EAST 81 STREET,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3670069,Bike,Bike,,,
769252,04/29/2017,15:45,,,,,,,,61        CENTER DRIVE                  ,3.0,0.0,0,0,3,0,0,0,Driver Inexperience,Driver Inexperience,Unspecified,,,3659838,Bike,Bike,Bike,,
774571,04/23/2017,9:40,,,,,,,,107       EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Unsafe Speed,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3655693,Bike,Bike,,,
778667,04/28/2017,19:05,QUEENS,11102.0,40.776695,-73.927826,"(40.776695, -73.927826)",SHORE BOULEVARD                 ,ASTORIA PARK SOUTH,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3659704,Bike,Bike,,,
780677,04/02/2017,12:36,,,,,,Riverside Park                  ,West 79 Street,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3643925,Bike,Bike,,,
785027,04/12/2017,11:00,BROOKLYN,11215.0,40.663315,-73.977936,"(40.663315, -73.977936)",,,162       PROSPECT PARK WEST            ,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3650146,Bike,Bike,,,
785470,04/05/2017,18:40,,,40.664097,-73.90932,"(40.664097, -73.90932)",ROCKAWAY AVENUE                 ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3645792,Bike,Bike,,,
792289,03/24/2017,22:30,,,40.780437,-73.94989,"(40.780437, -73.94989)",2 AVENUE                        ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,,,,,3639744,Bike,Bike,,,
827450,01/26/2017,18:40,,,,,,BROOKLYN BRIDGE                 ,ADAMS STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3605074,Bike,Bike,,,
863179,11/09/2016,18:30,BROOKLYN,11206.0,40.70154,-73.93837,"(40.70154, -73.93837)",FLUSHING AVENUE                 ,GARDEN STREET,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,3557532,Bike,Bike,,,
865090,11/26/2016,17:18,,,40.73539,-73.952614,"(40.73539, -73.952614)",MC GUINNESS BOULEVARD           ,EAGLE STREET,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3567986,Bike,Bike,,,
866747,11/19/2016,13:15,,,40.80641,-73.9502,"(40.80641, -73.9502)",WEST 121 STREET                 ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3564121,Bike,Bike,,,
874533,11/15/2016,3:40,,,40.757545,-73.95579,"(40.757545, -73.95579)",QUEENSBORO BRIDGE OUTER         ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3560511,Bike,Bike,,,
880688,10/11/2016,17:07,,,,,,,,79        EAST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3538398,Bike,Bike,,,
886375,10/19/2016,13:00,,,,,,,,101       EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3544276,Bike,Bike,,,
891726,11/03/2016,9:00,BROOKLYN,11211.0,40.71098,-73.9583,"(40.71098, -73.9583)",,,233       SOUTH 3 STREET                ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unsafe Lane Changing,,,,3557926,Bike,Bike,,,
895105,10/10/2016,15:10,,,40.7136,-74.0091,"(40.7136, -74.0091)",,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3538399,Bike,Bike,,,
897245,09/23/2016,16:05,,,,,,,,97        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3526682,Bike,Bike,,,
897453,10/04/2016,22:30,MANHATTAN,10022.0,40.75895,-73.96849,"(40.75895, -73.96849)",EAST 55 STREET                  ,3 AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3535871,Bike,Bike,,,
897576,09/23/2016,17:45,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3526683,Bike,Bike,,,
904709,09/15/2016,21:00,MANHATTAN,10024.0,40.784527,-73.979485,"(40.784527, -73.979485)",WEST 80 STREET                  ,BROADWAY,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3521164,Bike,Bike,,,
904737,09/25/2016,12:25,BROOKLYN,11226.0,,,,,,171       east drive                    ,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3527121,Bike,Bike,,,
904833,09/22/2016,18:30,,,,,,,,85        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3525872,Bike,Bike,,,
905219,09/21/2016,7:40,MANHATTAN,10002.0,40.718685,-73.99051,"(40.718685, -73.99051)",,,100       ALLEN STREET                  ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3525299,Bike,Bike,,,
907188,09/15/2016,18:45,,,,,,,,101       WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unsafe Speed,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3520835,Bike,Bike,,,
907664,10/05/2016,21:25,MANHATTAN,10040.0,40.860863,-73.928825,"(40.860863, -73.928825)",ELLWOOD STREET                  ,WEST 196 STREET,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3543040,Bike,Bike,,,
908416,09/18/2016,19:10,,,40.6932,-73.971344,"(40.6932, -73.971344)",MYRTLE AVENUE                   ,,,1.0,0.0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,3522484,Bike,Bike,,,
911941,09/24/2016,16:20,,,,,,,,87        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Following Too Closely,,,,3526677,Bike,Bike,,,
912396,09/25/2016,11:21,MANHATTAN,10024.0,40.784992,-73.98261,"(40.784992, -73.98261)",WEST 79 STREET                  ,RIVERSIDE DRIVE,,2.0,0.0,0,0,2,0,0,0,Unsafe Speed,Unspecified,,,,3526709,Bike,Bike,,,
914441,09/09/2016,18:20,BRONX,10464.0,40.852947,-73.78976,"(40.852947, -73.78976)",,,591       CITY ISLAND AVENUE            ,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3523374,Bike,Bike,,,
917039,08/29/2016,17:30,,,40.709198,-73.991776,"(40.709198, -73.991776)",MANHATTAN BR LOWER              ,,,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Reaction to Uninvolved Vehicle,,,,3533294,Bike,Bike,,,
917141,09/07/2016,23:35,,,40.67213,-73.876495,"(40.67213, -73.876495)",SUTTER AVENUE                   ,,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3533306,Bike,Bike,,,
918130,09/10/2016,14:05,,,40.725723,-73.94881,"(40.725723, -73.94881)",MC GUINNESS BOULEVARD           ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3533297,Bike,Bike,,,
918575,09/05/2016,12:20,QUEENS,11103.0,40.767204,-73.910095,"(40.767204, -73.910095)",42 STREET                       ,25 AVENUE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3533287,Bike,Bike,,,
921319,08/30/2016,17:40,,,40.837315,-73.934044,"(40.837315, -73.934044)",HARLEM RIVER DRIVE              ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing Too Closely,,,,3533280,Bike,Bike,,,
922042,08/30/2016,16:30,,,,,,WEST DRIVE                      ,PROSPECT PARK WEST,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3533290,Bike,Bike,,,
922328,09/09/2016,19:10,,,,,,WEST DRIVE                      ,102 CROSS DRIVE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3533304,Bike,Bike,,,
923117,09/02/2016,17:48,,,,,,,,67        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3533283,Bike,Bike,,,
924373,08/26/2016,11:05,,,,,,,,59        CENTER DRIVE                  ,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,3533268,Bike,Bike,,,
925889,09/12/2016,19:15,QUEENS,11372.0,40.753326,-73.8718,"(40.753326, -73.8718)",JUNCTION BOULEVARD              ,35 AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3518988,Bike,Bike,,,
926110,09/03/2016,11:35,QUEENS,11697.0,40.561802,-73.91306,"(40.561802, -73.91306)",BEACH 204 STREET                ,12 AVENUE,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3533296,Bike,Bike,,,
926163,08/20/2016,17:15,,,40.61739,-73.99194,"(40.61739, -73.99194)",18 AVENUE                       ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3533230,Bike,Bike,,,
927064,08/31/2016,8:57,BRONX,10461.0,40.847046,-73.832146,"(40.847046, -73.832146)",,,3000      BUHRE AVENUE                  ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3510495,Bike,Bike,,,
929003,08/28/2016,16:30,,,,,,,,101       WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3533267,Bike,Bike,,,
930623,08/19/2016,7:55,,,,,,QUEENSBORO BRIDGE OUTER ROADWAY ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3533227,Bike,Bike,,,
930769,06/14/2016,10:30,,,,,,BROOKLYN BRIDGE                 ,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4023726,Bike,Bike,,,
