,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
125178,06/07/2020,13:17,BROOKLYN,11215.0,40.674,-73.982285,"(40.674, -73.982285)",5 AVENUE                        ,1 STREET,,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4318528,Bike,Bike,,,
126067,04/19/2020,9:14,,,,,,WEST 104 STREET                 ,HENRY HUDSON PARKWAY,,2.0,0.0,0,0,2,0,0,0,Passenger Distraction,Driver Inattention/Distraction,,,,4309487,Bike,Bike,,,
126106,06/16/2020,21:30,BROOKLYN,11222.0,40.72377,-73.9508,"(40.72377, -73.9508)",MANHATTAN AVENUE                ,NASSAU AVENUE,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Aggressive Driving/Road Rage,,,,4321848,Bike,Bike,,,
126277,05/16/2020,5:20,BROOKLYN,11212.0,40.661015,-73.90853,"(40.661015, -73.90853)",ROCKAWAY AVENUE                 ,RIVERDALE AVENUE,,2.0,0.0,0,0,2,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4314075,Bike,Bike,,,
126774,06/06/2020,11:24,,,40.837315,-73.934044,"(40.837315, -73.934044)",HARLEM RIVER DRIVE              ,,,1.0,0.0,0,0,1,0,0,0,Obstruction/Debris,Obstruction/Debris,,,,4318348,Bike,Bike,,,
127695,06/07/2020,23:15,BRONX,10454.0,40.810402,-73.92196,"(40.810402, -73.92196)",EAST 140 STREET                 ,WILLIS AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,4318415,Bike,Bike,,,
127848,05/27/2020,18:30,,,,,,,,72        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,,,,4316287,Bike,Bike,,,
131397,03/19/2020,16:40,BROOKLYN,11205.0,40.697838,-73.97077,"(40.697838, -73.97077)",FLUSHING AVENUE                 ,VANDERBILT AVENUE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4302412,Bike,Bike,,,
134166,03/08/2020,21:40,,,40.801754,-73.93121,"(40.801754, -73.93121)",EAST 125 STREET                 ,1 AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,4306269,Bike,Bike,,,
137345,02/22/2020,16:17,,,40.812138,-73.96636,"(40.812138, -73.96636)",HENRY HUDSON PARKWAY            ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4292177,Bike,Bike,,,
138145,03/09/2020,11:55,BROOKLYN,11220.0,40.61143,-74.03485,"(40.61143, -74.03485)",SHORE ROAD                      ,4 AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4306543,Bike,Bike,,,
153408,01/22/2020,13:49,MANHATTAN,10001.0,40.74881,-74.000946,"(40.74881, -74.000946)",,,428       WEST 26 STREET                ,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,4278033,Bike,Bike,,,
176291,12/29/2019,11:31,,,,,,,,95        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4266322,Bike,Bike,,,
181026,11/21/2019,16:07,MANHATTAN,10023.0,40.78031,-73.98569,"(40.78031, -73.98569)",WEST 72 STREET                  ,RIVERSIDE DRIVE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4245360,Bike,Bike,,,
197209,11/01/2019,7:30,,,,,,,,77        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4233102,Bike,Bike,,,
215689,10/05/2019,14:58,MANHATTAN,10000.0,40.784473,-73.967224,"(40.784473, -73.967224)",TRANSVERSE ROAD NUMBER THREE    ,WEST DRIVE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4218696,Bike,Bike,,,
219656,09/22/2019,12:00,MANHATTAN,10014.0,40.735302,-74.00994,"(40.735302, -74.00994)",WEST 11 STREET                  ,WEST STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4210605,Bike,Bike,,,
219870,10/14/2019,9:35,,,40.675644,-73.94161,"(40.675644, -73.94161)",KINGSTON AVENUE                 ,,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4246310,Bike,Bike,,,
221296,09/22/2019,14:20,,,,,,,,107       WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4210646,Bike,Bike,,,
222899,10/05/2019,1:50,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4218865,Bike,Bike,,,
226267,10/02/2019,7:30,,,,,,,,79        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4216353,Bike,Bike,,,
226521,09/20/2019,16:45,,,40.734688,-73.99998,"(40.734688, -73.99998)",WEST 10 STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4209851,Bike,Bike,,,
228846,09/17/2019,17:45,MANHATTAN,10021.0,40.768486,-73.955505,"(40.768486, -73.955505)",1 AVENUE                        ,EAST 73 STREET,,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,4207718,Bike,Bike,,,
230545,09/17/2019,1:02,MANHATTAN,10011.0,40.74756,-74.00786,"(40.74756, -74.00786)",WEST 21 STREET                  ,11 AVENUE,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4207617,Bike,Bike,,,
233459,08/27/2019,7:25,,,,,,,,57        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4196149,Bike,Bike,,,
236602,07/09/2019,18:28,BROOKLYN,11226.0,,,,,,171       east drive                    ,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4167424,Bike,Bike,,,
236777,08/29/2019,17:37,MANHATTAN,10010.0,40.738953,-73.98012,"(40.738953, -73.98012)",,,434       2 AVENUE                      ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4197210,Bike,Bike,,,
240624,09/08/2019,23:45,,,40.688667,-73.87548,"(40.688667, -73.87548)",JAMAICA AVENUE                  ,EUCLID AVENUE,,2.0,0.0,0,0,2,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4203328,Bike,Bike,,,
240905,08/26/2019,17:30,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4195567,Bike,Bike,,,
242175,08/24/2019,10:58,,,,,,,,79        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4194122,Bike,Bike,,,
243212,08/18/2019,17:05,,,40.82309,-73.956345,"(40.82309, -73.956345)",WEST 138 STREET                 ,,,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4191424,Bike,Bike,,,
245369,09/08/2019,17:40,BROOKLYN,11238.0,40.672733,-73.96966,"(40.672733, -73.96966)",WEST DRIVE                      ,PLAZA STREET WEST,,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Unspecified,,,,4206274,Bike,Bike,,,
247615,07/29/2019,12:50,MANHATTAN,10016.0,40.741535,-73.98117,"(40.741535, -73.98117)",,,379       3 AVENUE                      ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4179207,Bike,Bike,,,
249577,08/01/2019,7:20,,,40.70766,-73.78773,"(40.70766, -73.78773)",JAMAICA AVENUE                  ,172 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4185891,Bike,Bike,,,
250531,08/04/2019,14:00,MANHATTAN,10009.0,40.725796,-73.986626,"(40.725796, -73.986626)",1 AVENUE                        ,EAST 5 STREET,,1.0,0.0,0,0,1,0,0,0,Other Vehicular,Passing or Lane Usage Improper,,,,4183736,Bike,Bike,,,
250977,08/04/2019,21:00,,,40.743214,-73.95135,"(40.743214, -73.95135)",PULASKI BRIDGE                  ,JACKSON AVENUE,,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4183428,Bike,Bike,,,
256228,07/30/2019,18:02,,,40.71997,-73.992905,"(40.71997, -73.992905)",CHRYSTIE STREET                 ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4180325,Bike,Bike,,,
256341,08/06/2019,18:50,,,,,,EAST DRIVE                      ,LINCOLN ROAD DRIVE,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4184098,Bike,Bike,,,
256742,08/05/2019,20:00,QUEENS,11103.0,40.764267,-73.9158,"(40.764267, -73.9158)",30 AVENUE                       ,38 STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4183999,Bike,Bike,,,
257366,07/24/2019,7:45,MANHATTAN,10022.0,40.76023,-73.961525,"(40.76023, -73.961525)",1 AVENUE                        ,EAST 60 STREET,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4176049,Bike,Bike,,,
260552,08/11/2019,17:00,,,,,,,,97        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4187244,Bike,Bike,Bike,,
262001,07/25/2019,15:55,BRONX,10458.0,40.860554,-73.89464,"(40.860554, -73.89464)",EAST 188 STREET                 ,ELM PLACE,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4177174,Bike,Bike,,,
